Person,Certified,Taught
4435,2014-10-16,2014-12-06
4435,2014-10-16,2015-02-21
4435,2014-10-16,2015-10-03
4444,2014-11-27,2015-03-19
4446,2013-07-20,2013-05-18
4446,2013-07-20,2013-07-03
4446,2013-07-20,2014-04-23
4446,2013-07-20,2014-05-19
4446,2013-07-20,2015-02-26
4446,2013-07-20,2015-11-20
4446,2013-07-20,2015-11-23
4446,2013-07-20,2015-12-02
4446,2013-07-20,2016-02-04
4458,2014-11-27,2015-04-16
4458,2014-11-27,2016-05-06
4488,2013-07-20,2013-01-30
4494,2014-09-18,2014-10-06
4494,2014-09-18,2015-01-11
4494,2014-09-18,2015-03-19
4494,2014-09-18,2015-05-19
4494,2014-09-18,2015-06-24
4507,2013-07-24,2013-01-31
4507,2013-07-24,2014-05-29
4513,2013-07-24,2013-02-25
4513,2013-07-24,2013-09-26
4513,2013-07-24,2014-09-25
4513,2013-07-24,2015-04-30
4513,2013-07-24,2015-09-22
4521,2015-09-25,2015-03-24
4521,2015-09-25,2015-08-19
4521,2015-09-25,2015-12-10
4521,2015-09-25,2016-01-12
4521,2015-09-25,2016-04-27
4551,2014-12-23,2015-01-29
4551,2014-12-23,2015-04-13
4551,2014-12-23,2016-01-28
4551,2014-12-23,2016-02-08
4551,2014-12-23,2016-02-25
4587,2014-12-11,2015-02-03
4587,2014-12-11,2016-02-02
4590,2013-11-17,2014-04-14
4628,2016-04-25,2015-09-10
4677,2015-12-08,2015-02-09
4677,2015-12-08,2016-04-25
4694,2014-05-09,2015-06-15
4770,2013-11-17,2014-03-17
4770,2013-11-17,2014-06-20
4770,2013-11-17,2014-10-11
4917,2015-07-05,2014-08-14
4918,2015-02-28,2015-04-08
4918,2015-02-28,2015-05-27
4918,2015-02-28,2015-09-10
4918,2015-02-28,2015-10-07
4941,2016-02-02,2016-02-02
4959,2014-08-07,2014-06-10
4959,2014-08-07,2014-07-19
4959,2014-08-07,2014-07-24
5024,2016-03-22,2016-01-19
5035,2016-02-17,2015-01-29
5035,2016-02-17,2015-04-30
5035,2016-02-17,2015-07-24
5041,2013-11-25,2013-05-30
5041,2013-11-25,2014-07-10
5041,2013-11-25,2014-07-15
5041,2013-11-25,2014-08-06
5041,2013-11-25,2014-12-14
5041,2013-11-25,2015-05-30
5041,2013-11-25,2015-07-09
5041,2013-11-25,2015-08-27
5041,2013-11-25,2015-11-04
5049,2014-11-11,2014-11-05
5049,2014-11-11,2016-02-17
5071,2015-02-27,2016-02-01
5248,2015-02-28,2015-07-02
5248,2015-02-28,2015-09-28
5248,2015-02-28,2015-10-01
5248,2015-02-28,2015-12-09
5248,2015-02-28,2016-05-12
5254,2015-06-26,2015-07-09
5254,2015-06-26,2015-12-14
5255,2014-11-14,2015-01-15
5255,2014-11-14,2015-04-09
5255,2014-11-14,2015-12-01
5268,2015-03-05,2016-02-02
5306,2016-02-02,2014-05-12
5332,2015-05-14,2015-06-23
5332,2015-05-14,2015-10-21
5332,2015-05-14,2015-10-26
5370,2013-07-20,2012-05-14
5370,2013-07-20,2012-10-22
5370,2013-07-20,2013-04-29
5381,2014-05-09,2014-05-12
5381,2014-05-09,2014-06-26
5381,2014-05-09,2014-07-17
5381,2014-05-09,2014-07-23
5381,2014-05-09,2014-10-06
5381,2014-05-09,2015-01-08
5381,2014-05-09,2015-03-06
5381,2014-05-09,2015-04-01
5381,2014-05-09,2015-05-04
5381,2014-05-09,2015-06-17
5381,2014-05-09,2015-07-30
5381,2014-05-09,2015-10-26
5381,2014-05-09,2016-01-19
5381,2014-05-09,2016-04-12
5382,2012-12-20,2012-07-09
5382,2012-12-20,2013-01-12
5382,2012-12-20,2013-06-24
5382,2012-12-20,2013-08-23
5385,2014-12-29,2015-01-15
5385,2014-12-29,2015-10-22
5389,2015-03-05,2015-11-03
5389,2015-03-05,2016-02-02
5414,2013-07-20,2012-12-10
5414,2013-07-20,2013-08-22
5414,2013-07-20,2014-02-15
5414,2013-07-20,2014-04-04
5498,2014-07-22,2013-08-28
5498,2014-07-22,2014-01-13
5498,2014-07-22,2014-08-25
5498,2014-07-22,2015-01-13
5498,2014-07-22,2015-06-03
5498,2014-07-22,2015-08-26
5498,2014-07-22,2016-01-14
5507,2014-11-27,2014-09-29
5507,2014-11-27,2015-03-18
5507,2014-11-27,2015-03-30
5507,2014-11-27,2016-03-07
